probeID B NK CD4T CD8T Gran Mono Neutro Eosino
cg01024458 0.034 0.962 0.969 0.958 0.994 0.987 0.992 0.991
cg11661493 0.037 0.954 0.971 0.964 0.961 0.958 0.962 0.962
cg21596498 0.06 0.98 0.989 0.989 0.978 0.98 0.976 0.984
cg05205074 0.049 0.954 0.967 0.961 0.981 0.967 0.979 0.986
cg17232476 0.045 0.962 0.969 0.958 0.976 0.932 0.98 0.976
cg14936008 0.065 0.976 0.98 0.983 0.981 0.977 0.983 0.986
cg05579731 0.041 0.94 0.953 0.948 0.964 0.969 0.966 0.961
cg17995557 0.04 0.87 0.974 0.958 0.976 0.962 0.969 0.968
cg15035590 0.072 0.978 0.986 0.979 0.984 0.974 0.986 0.986
cg03248292 0.021 0.917 0.956 0.919 0.941 0.925 0.927 0.918
cg00760938 0.049 0.921 0.964 0.946 0.95 0.945 0.949 0.964
cg21743182 0.054 0.941 0.955 0.955 0.957 0.944 0.959 0.955
cg26552743 0.045 0.936 0.964 0.963 0.941 0.932 0.932 0.922
cg22212560 0.043 0.966 0.978 0.976 0.968 0.821 0.956 0.934
cg20602300 0.086 0.974 0.983 0.978 0.98 0.978 0.977 0.983
cg06889975 0.067 0.961 0.979 0.966 0.937 0.952 0.945 0.936
cg15532942 0.063 0.928 0.956 0.937 0.963 0.963 0.958 0.97
cg02665297 0.08 0.957 0.97 0.969 0.974 0.965 0.972 0.975
cg16148346 0.072 0.965 0.969 0.96 0.968 0.943 0.959 0.962
cg22498365 0.074 0.961 0.942 0.955 0.974 0.962 0.97 0.977
cg27565966 0.068 0.938 0.967 0.947 0.949 0.942 0.943 0.957
cg18184053 0.022 0.81 0.957 0.88 0.934 0.916 0.917 0.92
cg26810157 0.044 0.891 0.974 0.943 0.958 0.943 0.92 0.858
cg24466100 0.044 0.93 0.916 0.897 0.92 0.911 0.933 0.941
cg07597976 0.023 0.867 0.947 0.945 0.898 0.88 0.88 0.88
cg22907103 0.056 0.932 0.952 0.944 0.942 0.9 0.934 0.936
cg12976793 0.106 0.973 0.977 0.973 0.985 0.984 0.98 0.981
cg14060402 0.097 0.971 0.977 0.978 0.969 0.956 0.967 0.965
cg26795340 0.049 0.917 0.948 0.927 0.921 0.904 0.918 0.909
cg15287850 0.058 0.932 0.952 0.939 0.951 0.924 0.927 0.902
cg09469986 0.087 0.922 0.966 0.941 0.972 0.961 0.977 0.97
cg04828493 0.078 0.891 0.97 0.963 0.984 0.892 0.981 0.981
cg10147394 0.059 0.895 0.926 0.89 0.953 0.946 0.952 0.944
cg03980424 0.108 0.971 0.943 0.985 0.988 0.966 0.984 0.983
cg16185947 0.061 0.939 0.967 0.94 0.9 0.936 0.905 0.843
cg02582213 0.1 0.954 0.964 0.957 0.967 0.948 0.967 0.969
cg18067520 0.027 0.932 0.967 0.974 0.897 0.828 0.879 0.737
cg18590995 0.041 0.929 0.943 0.946 0.873 0.887 0.848 0.85
cg08939052 0.066 0.868 0.94 0.888 0.958 0.942 0.952 0.962
cg25131632 0.072 0.88 0.936 0.887 0.963 0.955 0.959 0.965
cg13915752 0.088 0.961 0.971 0.956 0.96 0.928 0.948 0.912
cg26160564 0.064 0.86 0.918 0.879 0.958 0.938 0.96 0.964
cg01869288 0.039 0.799 0.915 0.787 0.951 0.936 0.95 0.961
cg18664915 0.089 0.944 0.947 0.932 0.945 0.934 0.932 0.949
cg06963205 0.041 0.882 0.902 0.883 0.939 0.834 0.928 0.921
cg23730277 0.117 0.953 0.98 0.971 0.973 0.969 0.959 0.956
cg11160673 0.057 0.935 0.964 0.98 0.918 0.691 0.933 0.922
cg11193201 0.051 0.945 0.943 0.951 0.915 0.819 0.91 0.813
cg00226923 0.08 0.884 0.94 0.902 0.942 0.934 0.946 0.942
cg20666585 0.072 0.823 0.951 0.864 0.959 0.94 0.956 0.962
cg27582527 0.895 0.07 0.903 0.427 0.966 0.969 0.972 0.975
cg06202778 0.98 0.149 0.957 0.555 0.956 0.932 0.965 0.969
cg09345868 0.97 0.144 0.789 0.417 0.977 0.978 0.986 0.986
cg26934362 0.85 0.109 0.851 0.329 0.941 0.956 0.949 0.966
cg05653887 0.959 0.172 0.935 0.507 0.939 0.959 0.947 0.948
cg07307830 0.948 0.151 0.76 0.487 0.963 0.963 0.968 0.978
cg21634628 0.816 0.165 0.87 0.532 0.971 0.969 0.971 0.979
cg02384859 0.931 0.179 0.926 0.494 0.959 0.956 0.95 0.967
cg03708221 0.905 0.154 0.878 0.482 0.913 0.934 0.927 0.936
cg02150910 0.813 0.166 0.925 0.502 0.952 0.96 0.951 0.963
cg20657709 0.97 0.225 0.968 0.625 0.967 0.968 0.96 0.968
cg03538296 0.979 0.256 0.983 0.737 0.983 0.983 0.985 0.979
cg19696012 0.946 0.189 0.881 0.518 0.95 0.972 0.965 0.957
cg27309871 0.953 0.229 0.966 0.614 0.954 0.965 0.97 0.97
cg21474838 0.976 0.221 0.885 0.588 0.971 0.979 0.972 0.978
cg05875239 0.932 0.241 0.946 0.739 0.947 0.933 0.949 0.969
cg24854175 0.945 0.143 0.743 0.331 0.944 0.967 0.944 0.952
cg01940139 0.975 0.228 0.91 0.59 0.975 0.974 0.966 0.975
cg14301562 0.935 0.193 0.936 0.577 0.885 0.932 0.894 0.9
cg18672716 0.926 0.167 0.907 0.467 0.895 0.943 0.891 0.878
cg26227465 0.875 0.153 0.756 0.451 0.934 0.928 0.939 0.944
cg13613174 0.959 0.162 0.789 0.394 0.855 0.956 0.888 0.957
